"WTD","HAND","SoilFertility","SoilSand_content","TreeHeight","MCWD_STD","DrySeasonLength","Long","Lat","SegGeo_number","HAND_CLASS","EVI_anomaly_fit_mean","EVI_anomaly_fit_standardize"
8.24143,8.24143,0.0376483,0.4,26.5297,62.7629,3.98121,-60.5912,9.16244,9,9,-0.561027788095147,-0.219687175885847
30.5321,30.5321,-0.814613,0.36,29.6944,61.5472,3,-64.2572,12.162,9,31,-0.351077115592451,0.431699911009653
35.9474,35.9474,-0.701642,0.34,33.0332,55.5409,2.2409,-59.5915,12.1619,9,35,-0.150035280562368,1.05544668782786
12.2271,12.2271,-0.727254,0.61,28.0862,52.8966,5.05609,-53.9224,29.1584,12,13,-0.262771142525922,0.70567555426719
4.27295,4.27295,-0.854139,0.36,27.7935,65.9113,3.09701,-59.9109,22.1708,12,5,-0.479494976243446,0.0332742467444919
18.6919,18.6919,-0.16574,0.4,19.7476,113.188,5,-49.9559,24.1549,12,19,-1.03573132106583,-1.69248908594786
17.5404,17.5404,-0.413533,0.36,26.8996,64.795,4.4477,-55.915,21.4806,12,17,-0.620239714959394,-0.403396444781262
17.8919,17.8919,-0.0050181,0.37,32.4337,57.1406,4.68283,-53.5962,24.8307,12,17,-0.778090835557217,-0.893140918488942
14.1078,14.1078,-0.359908,0.46,25.7225,54.6816,5,-53.2591,26.8268,12,15,-0.771767599222652,-0.873522622216655
7.34839,7.34839,-0.6161,0.39,29.051,24.2552,0.675159,-73.8064,22.4959,21,7,-0.319086687996276,0.530952517310051
4.67731,4.67731,-0.863195,0.28,28.9796,61.3185,3.06454,-60.2658,22.1448,12,5,-0.882849474115226,-1.21816214173158
25.8963,25.8963,-0.128232,0.33,31.6708,85.1829,7,-53.9257,21.5013,12,25,-0.814031859874767,-1.00465053572986
12.3485,12.3485,-0.267136,0.46,26.6881,59.3479,5,-53.2564,26.4927,12,13,-0.75960833478624,-0.83579762831398
13.2659,13.2659,-0.0141516,0.34,34.6844,90.5603,5.66571,-53.2581,22.4951,12,13,-0.794630055767049,-0.94445504072338
33.2179,33.2179,0.0373854,0.4,30.1611,78.818,4.19316,-52.9252,23.1511,12,33,-0.926038683047453,-1.35215977391979
5.33125,5.33125,-0.92759,0.53,31.2037,29.4641,0.537509,-70.5885,15.4984,21,5,-0.582622397551879,-0.286686007463708
37.6546,37.6546,0.078563,0.35,25.9545,75.8514,4.46061,-52.2708,23.8421,12,37,-1.14518580640939,-2.03207951214511
18.2049,18.2049,0.0104976,0.35,32.6857,74.8588,5,-53.2595,22.8283,12,19,-0.835786111943434,-1.07214467001237
13.0921,13.0921,-0.206577,0.34,21.7,108.561,5,-50.2921,24.1389,12,13,-0.926819611400272,-1.35458266039476
9.83159,9.83159,-0.0719411,0.45,25.0813,93.4481,6.34959,-54.9744,19.0689,12,9,-0.669330601443462,-0.555704456748048
35.2288,35.2288,-0.156315,0.34,28.8639,99.7826,7,-53.934,21.1611,12,35,-0.881846575258851,-1.21505057577793
22.4383,22.4383,-0.116728,0.35,32.1673,100.115,7,-53.5879,20.8124,12,23,-0.766886846239042,-0.858379734461391
15.034,15.034,-0.568042,0.6,24.4866,57.1853,5,-53.2612,27.4914,12,15,-0.229230748401214,0.809737043386449
6.324,6.324,-0.830243,0.34,30.5837,69.0074,3.36078,-59.5912,22.1602,12,7,-0.614925319672527,-0.386908150539297
12.9584,12.9584,-0.151956,0.5,31.0467,74.291,5.70179,-55.2542,18.8027,12,13,-0.660145706778536,-0.52720765934364
8.57654,8.57654,0.284509,0.29,36.4168,80.8792,4.36623,-70.2392,25.4941,12,9,-0.935113928515113,-1.38031637679023
6.38245,6.38245,-0.853964,0.52,29.4161,31.1964,0.982409,-70.5906,15.1674,21,7,-0.542424367698426,-0.161968723860613
7.44958,7.44958,-0.778303,0.33,25.1106,77.6385,4.05957,-58.9561,20.9119,12,7,-0.604807469738929,-0.355516792201029
32.7257,32.7257,-0.20753,0.32,30.1533,90.7049,7,-54.2494,21.1591,12,33,-0.784797885516489,-0.913950024182932
26.1153,26.1153,-0.337943,0.3,30.4923,63.4006,4.62281,-55.5747,21.5088,12,27,-0.645781371422413,-0.482641274052853
10.0662,10.0662,-0.0294375,0.48,9.13103,61.229,6.03448,-48.276,22.4598,12,11,-0.831315484659037,-1.05827422678556
22.7889,22.7889,-0.267997,0.44,28.2171,74.3962,6.92171,-55.6064,19.0707,12,23,-0.850811044124712,-1.11876060454451
9.61489,9.61489,-0.0816629,0.39,31.3432,97.3744,7,-53.2448,21.4979,12,9,-0.641929413107821,-0.470690295875574
5.88657,5.88657,-0.960826,0.47,29.9659,35.0579,1.44611,-71.5904,15.8275,21,5,-0.537380546331839,-0.146319904699245
16.1565,16.1565,-0.42171,0.43,29.3444,86.6489,5,-61.9247,10.496,9,17,-0.621200267673666,-0.406376628778299
9.61123,9.61123,0.446122,0.29,37.2019,87.3024,5,-70.2562,26.1597,12,9,-0.792543182060441,-0.93798036470419
19.4818,19.4818,-0.108796,0.35,30.8465,99.0165,7,-53.5691,21.1645,12,19,-0.845518371597657,-1.10233970672983
13.789,13.789,0.0377167,0.34,29.643,43.8815,4,-74.8382,24.8021,12,13,-0.965530337743328,-1.47468547770718
8.23651,8.23651,-0.995106,0.5,31.788,20.9592,0,-71.2567,17.4924,21,9,-0.666274423962569,-0.546222445937678
13.5629,13.5629,-0.573063,0.43,31.8161,100.363,5.36173,-59.9172,16.1528,9,13,-0.443980973997885,0.143458997243156
10.267,10.267,-0.331891,0.51,23.9799,86.0674,6,-55.5893,19.6283,12,11,-0.602920930676596,-0.34966366884839
12.1732,12.1732,-0.071252,0.34,32.7975,80.0343,4,-54.5994,22.4933,12,13,-0.832509657590253,-1.06197923433634
14.5762,14.5762,0.00617739,0.36,32.7993,72.6855,4,-54.2628,23.1604,12,15,-0.788306387073043,-0.924835403024778
4.73327,4.73327,-0.874725,0.34,27.2675,58.3668,3.08544,-60.5904,22.1679,12,5,-0.610253645862324,-0.372413945982198
25.5331,25.5331,-0.056926,0.29,26.5845,80.7835,4.69587,-50.9262,23.4934,12,25,-1.18147688639417,-2.14467520231262
14.9199,14.9199,-0.0886317,0.34,32.557,100.07,7,-53.263,21.1508,12,15,-0.839000759862847,-1.08211834677491
6.51034,6.51034,-0.942048,0.54,32.6499,16.8689,0,-69.9235,16.827,21,7,-0.610366894156932,-0.372765306974957
27.188,27.188,0.0303041,0.41,29.9213,69.5402,4.17382,-53.2505,23.1593,12,27,-0.885190416082746,-1.22542508283406
15.2124,15.2124,-0.0199968,0.35,32.2857,79.7551,4,-54.2538,22.8242,12,15,-0.843715019872174,-1.09674467808282
14.4066,14.4066,0.00411973,0.34,32.4461,61.3997,4.68794,-53.926,24.8255,12,15,-0.885900923606543,-1.22762948361367
11.3773,11.3773,-0.134925,0.32,35.1477,74.4208,4,-54.9259,22.1614,12,11,-0.804863330047977,-0.976204511414744
13.5923,13.5923,-0.484728,0.37,34.1943,68.0154,4,-56.5915,21.4948,12,13,-0.340609713975376,0.464175778628625
7.76559,7.76559,-0.786834,0.32,31.4406,65.5522,3.42363,-58.9255,21.8279,12,7,-0.665757523651614,-0.544618725483941
6.39914,6.39914,-0.813798,0.39,29.6902,73.036,3.76624,-59.2622,21.828,12,7,-0.396863433782088,0.289644560247032
15.5222,15.5222,-0.0125884,0.37,31.301,58.4743,5,-54.2587,25.1599,12,15,-0.810742551287177,-0.994445218865526
5.58686,5.58686,-1.01186,0.53,32.9006,21.7875,0,-70.2566,16.829,21,5,-0.66548559153683,-0.543775036507047
7.03716,7.03716,-0.673382,0.49,20.2419,64.4266,3,-47.9279,18.4558,12,7,-0.446017308659397,0.137141122252354
17.9806,17.9806,0.0318954,0.33,33.1147,53.8605,4,-54.5923,23.8289,12,17,-0.904615054964653,-1.28569142437255
26.659,26.659,-0.261415,0.3,33.1897,88.2726,7,-54.5874,21.1484,12,27,-0.613475734687316,-0.382410708690367
9.08659,9.08659,-1.00973,0.53,33.6683,22.9843,0,-70.5896,16.1625,21,9,-0.677785809928752,-0.581937350211423
10.5965,10.5965,-0.00995287,0.39,34.3015,95.7711,5.87776,-52.9356,22.4984,12,11,-0.600621236106484,-0.342528700767945
