HAND,Rainfor_Effort,HAND_Area,Rainfor_Effort_Fraction,HAND_Area_Fraction,Effort_Ratio,Cumulative_HANDArea,Cumulative_HANDAreaProportion
02,120.53,1426072,0.038535972,0.218495022,0.176370022,1426072,0.21403
04,88.16666667,801275,0.028188735,0.122767012,0.229611637,2227347,0.334288
06,103.475,668439,0.03308313,0.1024146,0.323031386,2895786,0.43461
08,198.0166667,549467,0.063310086,0.084186356,0.752023128,3445253,0.517076
10,174.5833333,451976,0.055817958,0.069249313,0.806043487,3897229,0.58491
12,435.995,373965,0.139396757,0.05729689,2.432885206,4271194,0.641036
14,185.75,307577,0.059388176,0.047125281,1.260219027,4578771,0.687199
16,39.25,253962,0.012549049,0.038910681,0.322509112,4832733,0.725314
18,19.16666667,208756,0.006127986,0.031984463,0.191592582,5041489,0.756645
20,43.75,171465,0.013987794,0.026270938,0.532443635,5212954,0.782379
22,15,140728,0.004795815,0.021561581,0.222424084,5353682,0.8035
24,639,116483,0.204301718,0.017846894,11.4474664,5470165,0.820982
26,29.5,97980,0.009431769,0.015011965,0.62828349,5568145,0.835687
28,51.66666667,81131,0.016518918,0.012430452,1.328907281,5649276,0.847864
30,0,68713,0,0.010527833,0,5717989,0.858177
32,0,58772,0,0.009004727,0,5776761,0.866997
34,40.08333333,50744,0.012815483,0.007774721,1.648352907,5827505,0.874613
36,166.9616667,44445,0.053381151,0.006809622,7.839076944,5871950,0.881284
38,303.2066667,38713,0.096941538,0.005931396,16.34379796,5910663,0.887094
40,0,34506,0,0.005286822,1.699270896,5945169,0.892273
GT40,473.625,581625,0.151427858,0.08911343,1.699270896,6526794,1
