"WTD","HAND","SoilFertility","SoilSand_content","SoilClay_content","Tree_Height","WoodDensity","DrySeasonLength","MCWD_STD","SegGeo_number","year","Long","Lat"
8.24143,8.24143,0.0376483,0.4,0.38,26.5297,0.714139,3.98121,62.7629,9,"2015",-60.5912,9.16244
30.5321,30.5321,-0.814613,0.36,0.42,29.6944,0.690911,3,61.5472,9,"2015",-64.2572,12.162
35.9474,35.9474,-0.701642,0.34,0.38,33.0332,0.716109,2.2409,55.5409,9,"2015",-59.5915,12.1619
126.368,126.368,-0.147182,0.32,0.41,26.0835,0.590472,0.148869,13.6454,0,"2015",-78.5886,22.1603
12.2271,12.2271,-0.727254,0.61,0.26,28.0862,0.648581,5.05609,52.8966,12,"2015",-53.9224,29.1584
4.27295,4.27295,-0.854139,0.36,0.43,27.7935,0.682168,3.09701,65.9113,12,"2015",-59.9109,22.1708
18.6919,18.6919,-0.16574,0.4,0.4,19.7476,0.658699,5,113.188,12,"2015",-49.9559,24.1549
17.5404,17.5404,-0.413533,0.36,0.48,26.8996,0.683683,4.4477,64.795,12,"2015",-55.915,21.4806
17.8919,17.8919,-0.0050181,0.37,0.39,32.4337,0.662416,4.68283,57.1406,12,"2015",-53.5962,24.8307
14.1078,14.1078,-0.359908,0.46,0.37,25.7225,0.654354,5,54.6816,12,"2015",-53.2591,26.8268
7.34839,7.34839,-0.6161,0.39,0.35,29.051,0.624013,0.675159,24.2552,21,"2015",-73.8064,22.4959
4.67731,4.67731,-0.863195,0.28,0.44,28.9796,0.682269,3.06454,61.3185,12,"2015",-60.2658,22.1448
25.8963,25.8963,-0.128232,0.33,0.5,31.6708,0.676437,7,85.1829,12,"2015",-53.9257,21.5013
12.3485,12.3485,-0.267136,0.46,0.38,26.6881,0.654355,5,59.3479,12,"2015",-53.2564,26.4927
13.2659,13.2659,-0.0141516,0.34,0.47,34.6844,0.667542,5.66571,90.5603,12,"2015",-53.2581,22.4951
33.2179,33.2179,0.0373854,0.4,0.4,30.1611,0.667136,4.19316,78.818,12,"2015",-52.9252,23.1511
5.33125,5.33125,-0.92759,0.53,0.29,31.2037,0.666214,0.537509,29.4641,21,"2015",-70.5885,15.4984
37.6546,37.6546,0.078563,0.35,0.44,25.9545,0.659679,4.46061,75.8514,12,"2015",-52.2708,23.8421
18.2049,18.2049,0.0104976,0.35,0.45,32.6857,0.667542,5,74.8588,12,"2015",-53.2595,22.8283
13.0921,13.0921,-0.206577,0.34,0.44,21.7,0.658528,5,108.561,12,"2015",-50.2921,24.1389
