"PAR_anomaly","VPD_anomaly","Pre_anomaly","MCWD_anomaly","WTD","HAND","Drought_Length","EVI_anomaly","SegGeo_number","year","HAND_CLASS","Drought_Condition"
-1.28848,2.33842,-0.106412,-2.2503,5.19643,5.19643,4,-5.06641,12,"2010",6,"Severe Drought"
-0.661058,1.77774,-0.902908,-1.32846,21.4869,21.4869,2,-4.76107,12,"2010",22,"Medium Drought"
2.10199,1.16644,-1.9307,-1.70243,21.375,21.375,4.51429,-4.54512,12,"2015",22,"Medium Drought"
-0.906683,1.61612,-1.04156,-1.70745,10.2686,10.2686,3,-4.48311,12,"2010",11,"Medium Drought"
-0.29691,1.44616,-1.01157,-1.03189,12.7887,12.7887,1,-4.43101,12,"2010",13,"Medium Drought"
0.0737249,1.4644,-0.60462,-1.0409,18.7102,18.7102,3,-4.02624,12,"2010",19,"Medium Drought"
-0.051403,1.88219,-1.73991,-1.24907,7.97877,7.97877,5.4375,-3.96161,12,"2010",8,"Medium Drought"
0.058985,1.37008,-0.995176,-1.31131,16.3378,16.3378,2,-3.82542,12,"2010",17,"Medium Drought"
-0.695705,1.61455,-0.611518,-1.87989,15.7581,15.7581,2,-3.70103,12,"2010",16,"Medium Drought"
0.0736848,-0.128387,-1.16725,-1.11117,7.6313,7.6313,2,-3.56547,12,"2015",8,"Medium Drought"
-1.05891,1.65631,-0.503344,-1.43384,16.5818,16.5818,2.4969,-3.53889,12,"2010",17,"Medium Drought"
-0.767147,1.72304,-0.679188,-1.29808,21.1295,21.1295,2.28837,-3.52614,12,"2010",22,"Medium Drought"
1.97081,0.524067,-1.8508,-2.01985,22.6513,22.6513,4,-3.50186,12,"2015",23,"Severe Drought"
-0.738972,1.72319,-1.15125,-1.46185,19.6534,19.6534,2.57583,-3.47899,12,"2010",20,"Medium Drought"
-1.01695,1.59832,-0.879189,-1.77791,17.6439,17.6439,2.55311,-3.4746,12,"2010",18,"Medium Drought"
-0.47644,2.33875,-1.14245,-2.21927,5.01622,5.01622,4.05,-3.45009,12,"2010",6,"Severe Drought"
-1.0466,1.67727,-0.934912,-1.46385,12.4668,12.4668,3,-3.43957,12,"2010",13,"Medium Drought"
-0.815105,1.71709,-1.02652,-1.4439,21.84,21.84,1.74218,-3.41135,12,"2010",22,"Medium Drought"
-1.12773,1.64869,-0.97551,-2.1995,17.2733,17.2733,2.81775,-3.39988,12,"2010",18,"Severe Drought"
-0.119538,1.36597,-1.12697,-1.37671,19.8638,19.8638,2,-3.38698,12,"2010",20,"Medium Drought"
-1.06334,1.71925,-0.917063,-1.62245,21.6768,21.6768,2.43512,-3.37801,12,"2010",22,"Medium Drought"
-0.779707,1.54495,-1.04197,-1.55415,19.2062,19.2062,2.25404,-3.36475,12,"2010",20,"Medium Drought"
-0.647804,1.70023,-0.933355,-1.19952,19.9882,19.9882,2,-3.36403,12,"2010",20,"Medium Drought"
-0.971448,1.70343,-0.876562,-1.68669,16.5259,16.5259,2.60129,-3.32886,12,"2010",17,"Medium Drought"
-0.0496976,1.37493,-1.06634,-1.39165,17.3127,17.3127,2,-3.31341,12,"2010",18,"Medium Drought"
-1.10293,1.64838,-0.522358,-2.05497,14.8179,14.8179,2.81703,-3.29479,12,"2010",15,"Severe Drought"
-0.970083,2.16087,-0.606268,-2.22208,3.25229,3.25229,5,-3.26572,12,"2010",4,"Severe Drought"
0.0976577,1.92702,-1.23731,-1.72677,28.6459,28.6459,5,-3.19618,12,"2010",29,"Medium Drought"
-0.647804,1.70023,-0.933354,-1.19952,19.8487,19.8487,2,-3.19593,12,"2010",20,"Medium Drought"
-0.200245,1.69772,-1.31112,-1.17436,24.0643,24.0643,2,-3.16087,12,"2010",25,"Medium Drought"
-0.970524,2.04617,-0.858389,-1.94901,4.62099,4.62099,5,-3.14695,12,"2010",5,"Medium Drought"
-1.01979,1.70178,-1.21601,-1.60801,4.79215,4.79215,4.49855,-3.13997,12,"2010",5,"Medium Drought"
-0.406243,2.12427,-1.05274,-1.21387,6.14762,6.14762,3,-3.10528,12,"2010",7,"Medium Drought"
-0.687248,1.64055,-1.15466,-1.49857,10.1737,10.1737,3.83931,-3.10095,12,"2010",11,"Medium Drought"
-0.406226,1.61039,-1.24354,-1.34002,13.7064,13.7064,1.67959,-3.08173,12,"2010",14,"Medium Drought"
-0.88694,1.60197,-0.539546,-1.23234,17.8117,17.8117,3,-3.06321,12,"2010",18,"Medium Drought"
-1.01396,2.35185,-1.3166,-1.24381,12.4493,12.4493,3.02207,-3.06031,12,"2010",13,"Medium Drought"
2.37764,1.40758,-1.96668,-1.82847,16.602,16.602,5,-3.04956,12,"2015",17,"Medium Drought"
-0.937107,1.54852,-1.3057,-1.66775,11.0814,11.0814,3,-3.03472,12,"2010",12,"Medium Drought"
-0.861746,1.6762,-0.773724,-1.49689,14.7845,14.7845,2.48073,-2.99729,12,"2010",15,"Medium Drought"
-0.934,1.73217,-1.30402,-1.58689,12.227,12.227,3,-2.98759,12,"2010",13,"Medium Drought"
-0.798895,1.65398,-0.19835,-1.27675,15.2572,15.2572,2.26645,-2.95421,12,"2010",16,"Medium Drought"
-0.985444,1.65945,-0.834076,-1.70052,22.3298,22.3298,2.52231,-2.95208,12,"2010",23,"Medium Drought"
