"PAR_anomaly","VPD_anomaly","Pre_anomaly","MCWD_anomaly","WTD","HAND","Drought_Length","EVI_anomaly","SoilFertility","SoilSand_content","SoilClay_content","Tree_Height","WoodDensity","DrySeasonLength","MCWD_STD","SegGeo_number","year","HAND_CLASS","Drought_Condition","Long","Lat"
-1.42275,2.31131,0.0864263,-2.2503,5.19643,5.19643,4,-5.06641,0.026529,0.37375,0.34125,14.625,0.617845,5,85.4606,12,"2010",6,"Severe Drought",-66.3091,31.6286
-0.528503,1.77936,-0.89975,-1.32846,21.4869,21.4869,2,-4.76107,-0.251228,0.399646,0.404545,33.6059,0.665363,5,42.2653,12,"2010",22,"Medium Drought",-58.4628,25.8961
2.2375,1.15768,-1.83369,-1.70243,21.375,21.375,4.51429,-4.54512,-0.0535642,0.444571,0.360857,21.1429,0.689238,6,104.716,12,"2015",22,"Medium Drought",-54.2667,19.0707
-0.152716,1.43395,-0.979523,-1.03189,12.0388,12.0388,1,-4.44667,-0.343948,0.361111,0.419596,34.3434,0.671203,4,54.129,12,"2010",13,"Medium Drought",-58.1557,25.0236
0.184055,1.4846,-0.648857,-1.0409,18.7102,18.7102,3,-4.02624,0.0322366,0.391154,0.418077,32.2692,0.663607,4,66.2399,12,"2010",19,"Medium Drought",-53.4645,23.314
-0.205933,1.87058,-1.86725,-1.24907,7.97877,7.97877,5.4375,-3.96161,0.110337,0.47,0.350313,18.5,0.619527,7,112.125,12,"2010",8,"Medium Drought",-62.6407,33.7692
-0.596903,2.26968,-1.0417,-2.12286,7.63792,7.63792,4,-3.86787,-0.104974,0.416667,0.33,18.6667,0.627916,6,57.8972,12,"2010",8,"Severe Drought",-63.9143,31.288
0.157972,1.39664,-1.07908,-1.31131,16.3378,16.3378,2,-3.82542,0.0200786,0.343488,0.436866,34.4414,0.670887,4,54.7897,12,"2010",17,"Medium Drought",-54.879,23.6053
-0.568111,1.63268,-0.746849,-1.87989,15.7581,15.7581,2,-3.70103,-0.293372,0.424896,0.382498,32.6095,0.663944,3.73312,39.0363,12,"2010",16,"Medium Drought",-56.9262,25.8262
-1.0622,1.46632,-1.67087,-2.76942,9.33317,9.33317,3,-3.56833,-0.473291,0.5,0.341875,27.125,0.652264,5,41.7274,12,"2010",10,"Severe Drought",-57.0382,27.3152
-0.479638,-0.733648,-1.25185,-1.11117,7.6313,7.6313,2,-3.56547,-0.362856,0.344667,0.385667,37.2667,0.621146,3,40.6973,12,"2015",8,"Medium Drought",-73.7517,24.1767
